trip_id,route_id,service_id,direction_id
IE-0-0,0,0,0
IE-1-0,0,0,0
IE-2-0,0,0,0
IE-3-0,0,0,0
IE-4-0,0,0,0
IE-5-0,0,0,0
IE-6-0,0,0,0
IE-7-0,0,0,0
IE-8-0,0,0,0
IE-9-0,0,0,0
IE-10-0,0,0,0
IE-11-0,0,0,0
IE-12-0,0,0,0
IE-13-0,0,0,0
IE-14-0,0,0,0
IE-15-0,0,0,0
IE-16-0,0,0,0
IE-17-0,0,0,0
IE-18-0,0,0,0
IE-19-0,0,0,0
IE-20-0,0,0,0
IE-21-0,0,0,0
IE-22-0,0,0,0
IE-23-0,0,0,0
IE-24-0,0,0,0
IE-25-0,0,0,0
IE-26-0,0,0,0
IE-27-0,0,0,0
IE-28-0,0,0,0
IE-29-0,0,0,0
IE-30-0,0,0,0
IE-31-0,0,0,0
IE-32-0,0,0,0
IE-33-0,0,0,0
IE-34-0,0,0,0
IE-35-0,0,0,0
IE-0-1,0,0,1
IE-1-1,0,0,1
IE-2-1,0,0,1
IE-3-1,0,0,1
IE-4-1,0,0,1
IE-5-1,0,0,1
IE-6-1,0,0,1
IE-7-1,0,0,1
IE-8-1,0,0,1
IE-9-1,0,0,1
IE-10-1,0,0,1
IE-11-1,0,0,1
IE-12-1,0,0,1
IE-13-1,0,0,1
IE-14-1,0,0,1
IE-15-1,0,0,1
IE-16-1,0,0,1
IE-17-1,0,0,1
IE-18-1,0,0,1
IE-19-1,0,0,1
IE-20-1,0,0,1
IE-21-1,0,0,1
IE-22-1,0,0,1
IE-23-1,0,0,1
IE-24-1,0,0,1
IE-25-1,0,0,1
IE-26-1,0,0,1
IE-27-1,0,0,1
IE-28-1,0,0,1
IE-29-1,0,0,1
IE-30-1,0,0,1
IE-31-1,0,0,1
IE-32-1,0,0,1
IE-33-1,0,0,1
IE-34-1,0,0,1
IE-35-1,0,0,1
