,request_id,orig_id,rq_time,start,end
0,0,veh0,0.0,62810,2161
1,1,veh1,0.54,22310,20309
2,2,veh2,1.09,73696,70161
3,3,veh3,1.63,84920,7733
4,4,veh4,2.17,32146,2431
5,5,veh5,2.72,19944,47073
6,6,veh6,3.26,2202,19067
7,7,veh7,3.8,65372,49519
8,8,veh8,4.35,19996,56445
9,9,veh9,4.89,78092,845
10,10,veh10,5.43,90912,26169
11,11,veh11,5.97,7962,8567
12,12,veh12,6.52,81888,57873
13,13,veh13,7.06,78024,73657
14,14,veh14,7.6,27480,50143
15,15,veh15,8.15,80184,59681
16,16,veh16,8.69,71664,3843
17,17,veh17,9.23,20414,23503
18,18,veh18,9.78,7274,20723
19,19,veh19,10.32,8850,22685
20,20,veh20,10.86,60482,27087
21,21,veh21,11.41,27120,19737
22,22,veh22,11.95,22058,87149
23,23,veh23,12.49,64620,58741
24,24,veh24,13.04,17382,73639
25,25,veh25,13.58,15732,27663
26,26,veh26,14.12,97668,63311
27,27,veh27,14.66,49934,70711
28,28,veh28,15.21,81372,76619
29,29,veh29,15.75,24688,22201
30,30,veh30,16.29,19638,88229
31,31,veh31,16.84,84266,24819
32,32,veh32,17.38,65958,29295
33,33,veh33,17.92,21902,21427
34,34,veh34,18.47,51054,21931
35,35,veh35,19.01,55940,85125
36,36,veh36,19.55,28970,20029
37,37,veh37,20.1,101426,47343
38,38,veh38,20.64,7908,3953
39,39,veh39,21.18,9710,59943
40,40,veh40,21.73,77386,32785
41,41,veh41,22.27,6296,27847
42,42,veh42,22.81,101052,48383
43,43,veh43,23.35,1110,73275
44,44,veh44,23.9,70134,49051
45,45,veh45,24.44,22054,63529
46,46,veh46,24.98,10116,36555
47,47,veh47,25.53,38556,90545
48,48,veh48,26.07,84246,22045
49,49,veh49,26.61,85654,84131
50,50,veh50,27.16,23714,63281
51,51,veh51,27.7,57826,15063
52,52,veh52,28.24,75574,49185
53,53,veh53,28.79,76610,48411
54,54,veh54,29.33,1614,86411
55,55,veh55,29.87,84480,80297
56,56,veh56,30.42,24364,5443
57,57,veh57,30.96,84460,88869
58,58,veh58,31.5,7568,42903
59,59,veh59,32.04,6652,75797
60,60,veh60,32.59,75846,12213
61,61,veh61,33.13,40770,49867
62,62,veh62,33.67,21908,84189
63,63,veh63,34.22,32210,19781
64,64,veh64,34.76,48802,73663
65,65,veh65,35.3,19038,24717
66,66,veh66,35.85,99646,65635
67,67,veh67,36.39,35914,47779
68,68,veh68,36.93,11652,20415
69,69,veh69,37.48,26064,56315
70,70,veh70,38.02,20478,20055
71,71,veh71,38.56,6760,60359
72,72,veh72,39.11,20444,85411
73,73,veh73,39.65,20786,69537
74,74,veh74,40.19,19786,12703
75,75,veh75,40.74,86560,53751
76,76,veh76,41.28,40666,77199
77,77,veh77,41.82,78034,18653
78,78,veh78,42.36,8488,35321
79,79,veh79,42.91,32234,40543
80,80,veh80,43.45,73368,70083
81,81,veh81,43.99,96586,8849
82,82,veh82,44.54,29918,26257
83,83,veh83,45.08,18576,38603
84,84,veh84,45.62,21418,86105
