rq_time,start,end,request_id,earliest_pickup_time
0,2966,2988,0,194
0,2966,2973,1,217
0,2970,2987,2,301
0,2982,2980,3,388
0,2977,2983,4,397
0,2983,2985,5,679
0,2993,2988,6,890
0,2966,2967,7,896
0,2977,2986,8,933
0,2976,2982,9,959
0,2977,2991,10,983
0,2977,2981,11,1085
0,2992,2980,12,1092
0,2987,2984,13,1185
0,2975,2981,14,1204
0,2993,2969,15,1320
0,2977,2979,16,1449
0,2984,2972,17,1511
0,2989,2977,18,1514
0,2989,2975,19,1558
0,2981,2979,20,1587
0,2978,2979,21,1659
0,2985,2982,22,1668
0,2967,2990,23,1681
0,2969,2977,24,1725
0,2990,2982,25,1735
0,2991,2993,26,2045
0,2969,2993,27,2045
0,2973,2981,28,2127
0,2981,2976,29,2198
0,2986,2984,30,2309
0,2989,2978,31,2383
0,2981,2969,32,2416
0,2992,2986,33,2494
0,2990,2970,34,2540
0,2990,2988,35,2626
0,2972,2985,36,2727
0,2970,2972,37,2803
0,2993,2972,38,2881
0,2992,2982,39,2912
0,2990,2981,40,2947
0,2977,2982,41,3008
0,2986,2970,42,3064
0,2973,2978,43,3088
0,2967,2981,44,3109
0,2982,2971,45,3303
0,2976,2987,46,3373
0,2971,2985,47,3437
0,2967,2982,48,3616
0,2983,2977,49,3637
0,2974,2970,50,3725
0,2966,2988,51,3846
0,2969,2992,52,3855
0,2990,2981,53,3881
0,2977,2992,54,4260
0,2972,2991,55,4325
0,2979,2975,56,4341
0,2983,2966,57,4394
0,2981,2971,58,4464
0,2990,2981,59,4476
0,2973,2969,60,4564
0,2979,2983,61,4621
0,2991,2987,62,4642
0,2989,2967,63,4722
0,2966,2992,64,4877
0,2980,2972,65,4944
0,2979,2993,66,4960
0,2987,2984,67,4984
0,2986,2992,68,4997
0,2968,2981,69,5118
0,2989,2977,70,5177
0,2985,2967,71,5237
0,2967,2981,72,5401
0,2978,2969,73,5459
0,2969,2979,74,5470
0,2984,2986,75,5486
0,2984,2992,76,5505
0,2986,2971,77,5531
0,2970,2980,78,5541
0,2978,2975,79,5563
0,2978,2993,80,5571
0,2984,2969,81,5580
0,2966,2970,82,5622
0,2975,2976,83,5637
0,2974,2987,84,5701
0,2971,2978,85,5726
0,2969,2990,86,5788
0,2978,2981,87,6062
0,2974,2982,88,6252
0,2992,2980,89,6437
0,2982,2983,90,6580
0,2973,2982,91,6617
0,2973,2992,92,6648
0,2966,2974,93,6685
0,2968,2991,94,6707
0,2985,2987,95,6850
0,2991,2983,96,6886
0,2983,2971,97,6910
0,2976,2972,98,6944
0,2988,2971,99,7152
